site_name,latitude,longitude,county,river_basin,ecoregion
Adams Creek: Broken Arrow High School,36.07472222,-95.76861111,Tulsa,Arkansas R.,Central Irregular Plains
Adams Creek: Oak Grove Road,36.0958,-95.6724,Wagoner,Arkansas R.,Central Irregular Plains
Ballard Creek: E 0660 (Oak Hill),36.06111667,-94.573,Adair,Illinois R.,Ozark Highlands
Ballard Creek: Wainscott,36.014656,-94.548142,Adair,Illinois R.,Ozark Highlands
Bandy Creek: Pleasant Hill Road,34.90841667,-95.29630556,Latimer,Arkansas R.,Arkansas Valley
Baron Fork River: Welling Road,35.86811111,-94.897,Cherokee,Illinois R.,Ouachita Mountains
"Bear Creek: E 0110 Road, Kaw Tribe",36.8537222,-96.88425,Kay,Arkansas R.,Flint Hills
Bear Creek: Miller Ranch,35.68744444,-98.6105,Blaine,Canadian R.,Central Great Plains
Beaty Creek,36.35007,-94.783425,Delaware,Arkansas R.,Ozark Highlands
Beaty Creek: Curry Cabin,36.41122222,-94.62563889,Delaware,Arkansas R.,Ozark Highlands
Beaver Creek: N 4370 Rd,35.1122,-95.24357,Haskell,Arkansas R.,Arkansas Valley
Big Cabin Creek: E 90 Road,36.888106,-95.169349,Craig,Arkansas R.,Central Irregular Plains
Big Spring Trib of Bitter Creek: Big Spring Picnic Area,35.93325,-98.44216667,Blaine,Cimarron R.,Central Great Plains
Bird Creek: Rustic Lounge,36.293267,-95.960829,Tulsa,Arkansas R.,Central Irregular Plains
Bird Creek: Walnut St.,35.887277,-97.416415,Logan,Cimarron R.,Central Great Plains
Bishop Creek Tributary: Basket 12,35.20769,-97.41724,Cleveland,Canadian R.,Central Great Plains
Bishop Creek: Constitution & Hwy 9,35.18047222,-97.43127778,Cleveland,Canadian R.,Central Great Plains
Bishop Creek: Constitution Street,35.18958,-97.42893,Cleveland,Canadian R.,Central Great Plains
Bishop Creek: Eastwoods Park,35.21316,-97.43333,Cleveland,Canadian R.,Central Great Plains
Bishop Creek: Lindsey Street,35.20375,-97.43582,Cleveland,Canadian R.,Central Great Plains
Bixby Creek: Riverview,35.932747,-95.876903,Tulsa,Arkansas R.,Central Irregular Plains
Black Bear Creek: Railroad Yard,36.342272,-96.80223,Pawnee,Arkansas R.,Central Great Plains
Black Fork of Poteau River: CR D1513,34.8245166,-94.62565,LeFlore,Arkansas R.,Arkansas Valley
Black Fox Creek: Illinois Confluence,36.11716667,-94.80933333,Cherokee,Illinois R.,
Blackboy Creek: Limestone Crossing (aka Bigheart Creek),36.1726111,-96.0825833,Osage,Arkansas R.,Cross Timbers
Blue Beaver Creek: Pecan Road,34.5361666,-98.5655277,Comanche,Upper Red R.,Central Great Plains
Bluff Creek: Battiest,34.44914,-94.94017,McCurtain,Little R.,Ouachita Mountains
Bluff Creek: NW 150th,35.62381,-97.6,Oklahoma,Cimarron R.,Central Great Plains
Boiling Springs Creek: Scout Trail Bridge,36.45772222,-99.29869444,Woodward,Canadian R.,Central Great Plains
Boomer Creek @ 3rd Ave.,36.1191,-97.0518,Payne,Cimarron R.,Cross Timbers
Boomer Creek @ S. Perkins Rd,36.11224,-97.0515,Payne,Cimarron R.,Cross Timbers
Boomer Creek: McElroy,36.1302777,-97.0558611,Payne,Cimarron R.,Cross Timbers
Brookhaven Creek: North of Main,35.219267,-97.502944,Cleveland,Canadian R.,Central Great Plains
Brush Creek,36.4054,-94.7956,Delaware,Arkansas R.,Ouachita Mountains
Brush Creek: nr. Jay,36.3698,-94.8037,Delaware,Arkansas R.,Ozark Highlands
Buckhorn Creek: Binderim Road,34.43369444,-96.94388889,Murray,Washita R.,Cross Timbers
Buckhorn Creek: Ramsey,34.709177,-97.962334,Grady,Upper Red R.,Cross Timbers
Buffalo Creek: Ballard,34.3908888,-94.4725833,McCurtain,Little R.,Ouachita Mountains
Buffalo Creek: Cosby,36.84039,-99.69523,Harper,Cimarron R.,Central Great Plains
Buffalo Creek: Hwy 74B,35.1025,-97.61137,McClain,Canadian R.,Cross Timbers
